OverallQual,AvgSalePrice,AvgGrLivArea,AvgTotalBsmtSF
1,50150.0,619.0,341.5
2,51770.333333333336,572.6666666666666,344.6666666666667
3,87473.75,1119.15,554.25
4,108420.6551724138,1106.6724137931035,755.2327586206897
5,133523.34760705288,1250.7481108312343,929.5390428211587
6,161603.0347593583,1465.874331550802,983.5267379679144
7,207716.42319749217,1703.833855799373,1108.5141065830721
8,274735.53571428574,1947.6130952380952,1417.8869047619048
9,367513.0232558139,2077.5116279069766,1734.3953488372092
10,438588.3888888889,3001.3888888888887,2231.777777777778
