YearBuilt,AvgSalePrice,AvgGrLivArea
1872,122000.0,2358.0
1875,94000.0,1020.0
1880,200619.75,2523.25
1882,168000.0,1742.0
1885,111250.0,1668.5
1890,142200.0,2211.5
1892,291250.0,2990.0
1893,325000.0,2775.0
1898,106000.0,2138.0
1900,112492.6,1751.5
1904,157500.0,1539.0
1905,163000.0,1912.0
1906,135000.0,1469.0
1908,183500.0,1805.0
1910,111959.05882352941,1424.0
1911,130000.0,1964.0
1912,119466.66666666667,2058.3333333333335
1913,90350.0,694.0
1914,126055.28571428571,1644.857142857143
1915,134387.5,1567.9
1916,139800.0,1678.25
1917,129500.0,2058.0
1918,172421.42857142858,1762.857142857143
1919,154833.33333333334,1929.3333333333333
1920,112903.33333333333,1311.3333333333333
1921,140813.33333333334,1384.5
1922,109237.5,1197.25
1923,159428.57142857142,1371.142857142857
1924,105985.71428571429,1170.7142857142858
1925,129190.625,1370.625
1926,124144.44444444444,1219.888888888889
1927,82666.66666666667,838.6666666666666
1928,135557.14285714287,1404.142857142857
1929,153000.0,1211.25
1930,103588.88888888889,1023.8888888888889
1931,126650.0,1351.6666666666667
1932,233358.5,2145.75
1934,220766.66666666666,2010.0
1935,161083.33333333334,1584.1666666666667
1936,137888.88888888888,1361.6666666666667
1937,131974.2,1365.2
1938,109137.5,1004.0
1939,150825.0,1463.875
1940,131994.44444444444,1274.888888888889
1941,120900.0,1255.3333333333333
1942,162000.0,1569.0
1945,133500.0,1417.8333333333333
1946,122400.0,1446.7142857142858
1947,117200.0,1154.8
1948,137764.2857142857,1436.5714285714287
1949,111517.58333333333,1187.25
1950,128036.25,1207.5
1951,136600.0,1239.1666666666667
1952,110398.6,1296.2
1953,146333.33333333334,1344.0
1954,139650.0,1221.0416666666667
1955,134517.1875,1296.4375
1956,135810.7142857143,1153.142857142857
1957,149959.1,1379.85
1958,143179.16666666666,1314.6666666666667
1959,154124.3076923077,1267.6538461538462
1960,161550.0,1428.4705882352941
1961,139846.42857142858,1199.7142857142858
1962,145742.1052631579,1279.0526315789473
1963,143403.125,1252.8125
1964,161893.33333333334,1445.3333333333333
1965,153115.95833333334,1306.75
1966,159559.44444444444,1373.2777777777778
1967,142337.5,1323.4375
1968,166075.0,1535.090909090909
1969,160725.64285714287,1511.9285714285713
1970,134647.91666666666,1192.7916666666667
1971,131820.45454545456,1167.4545454545455
1972,140569.5652173913,1141.0869565217392
1973,139400.0,1471.090909090909
1974,183050.0,1588.6
1975,159268.75,1208.875
1976,163831.9696969697,1489.909090909091
1977,166860.9375,1500.53125
1978,160962.5,1446.375
1979,156396.88888888888,1470.0
1980,164800.0,1399.2
1981,249880.0,1787.0
1982,132400.0,835.1666666666666
1983,181400.0,1249.5
1984,164111.11111111112,1327.3333333333333
1985,191400.0,1421.4
1986,212000.0,1803.0
1987,198000.0,1368.0
1988,204636.36363636365,1766.4545454545455
1989,279500.0,2048.3333333333335
1990,220881.66666666666,1940.5833333333333
1991,186140.0,1656.8
1992,218384.61538461538,1880.5384615384614
1993,218058.82352941178,1796.8235294117646
1994,247900.0,1860.578947368421
1995,262194.44444444444,1932.611111111111
1996,259162.66666666666,1855.1333333333334
1997,214925.0,1740.4285714285713
1998,220450.0,1793.96
1999,210614.72,1719.92
2000,210766.66666666666,1737.7083333333333
2001,242630.0,1739.8
2002,226869.5652173913,1783.9130434782608
2003,227408.57777777777,1681.0
2004,210347.72222222222,1576.962962962963
2005,229680.953125,1621.4375
2006,251775.44776119402,1675.4179104477612
2007,255362.73469387754,1721.4489795918366
2008,348849.1304347826,2143.1304347826085
2009,269220.0,1602.2222222222222
2010,394432.0,1856.0
