Identificador do Imóvel;Classe do Edifício;Zoneamento;Frente do Lote;Área Total do Lote;Tipo de Rua;Tipo de Viela;Formato do Lote;Nivelamento do Terreno;Tipo de Utilidades;Configuração do Lote;Inclinação do Terreno;Bairro;Condição Principal;Condição Secundária;Tipo de Construção;Estilo da Casa;Qualidade Geral;Condição Geral;Ano de Construção;Ano da Última Reforma;Tipo de Telhado;Material do Telhado;Revestimento Externo 1;Revestimento Externo 2;Tipo de Alvenaria;Área de Alvenaria;Qualidade dos Materiais Externos;Condição dos Materiais Externos;Fundação;Qualidade do Porão;Condição do Porão;Exposição do Porão;Acabamento do Porão 1;Área Acabada do Porão 1;Acabamento do Porão 2;Área Acabada do Porão 2;Área Não Acabada do Porão;Área Total do Porão;Tipo de Aquecimento;Qualidade do Aquecimento;Ar-Condicionado Central;Sistema Elétrico;Área do Primeiro Andar;Área do Segundo Andar;Área de Baixa Qualidade;Área Útil Acima do Solo;Banheiros Completos no Porão;Lavabos no Porão;Banheiros Completos Acima do Solo;Lavabos Acima do Solo;Quartos Acima do Porão;Número de Cozinhas;Qualidade da Cozinha;Total de Cômodos Acima do Solo;Funcionalidade da Casa;Número de Lareiras;Qualidade da Lareira;Tipo de Garagem;Ano da Construção da Garagem;Acabamento Interno da Garagem;Capacidade da Garagem;Área da Garagem;Qualidade da Garagem;Condição da Garagem;Entrada Pavimentada;Área do Deck de Madeira;Área da Varanda Aberta;Área da Varanda Fechada;Área da Varanda de Três Estações;Área da Varanda Telada;Área da Piscina;Qualidade da Piscina;Tipo de Cerca;Característica Extra;Valor de Características Extras;Mês da Venda;Ano da Venda;Tipo de Venda;Condição da Venda;Preço de Venda
1;60;Residencial (Baixa Dens.);65;8450;Pavimentada;Sem Acesso;Regular;Plano;Todas Disponíveis;Interno;Suave;CollgCr;Normal;Normal;Casa Individual;Sobrado;7;5;2003;2003;Duas Águas;Asfalto;VinylSd;VinylSd;Tijolo;196;Boa;Média;Concreto;Boa;Média;Nenhuma;Alto Acabamento;706;Sem Acabamento;0;150;856;Gás Forçado;Excelente;Sim;Disjuntor;856;854;0;1710;1;0;2;1;3;1;Boa;8;Típica;0;;Anexada;2003;Rústico;2;548;Média;Média;Sim;0;61;0;0;0;0;;;;0;2;2008;Venda Direta;Normal;208500
2;20;Residencial (Baixa Dens.);80;9600;Pavimentada;Sem Acesso;Regular;Plano;Todas Disponíveis;Frente Dupla;Suave;Veenker;Próximo a Via Alimentadora;Normal;Casa Individual;Térrea;6;8;1976;1976;Duas Águas;Asfalto;MetalSd;MetalSd;Nenhum;0;Média;Média;Blocos de Concreto;Boa;Média;Boa;Bom Acabamento;978;Sem Acabamento;0;284;1262;Gás Forçado;Excelente;Sim;Disjuntor;1262;0;0;1262;0;1;2;0;3;1;Média;6;Típica;1;Média;Anexada;1976;Rústico;2;460;Média;Média;Sim;298;0;0;0;0;0;;;;0;5;2007;Venda Direta;Normal;181500
3;60;Residencial (Baixa Dens.);68;11250;Pavimentada;Sem Acesso;Leve Irregular;Plano;Todas Disponíveis;Interno;Suave;CollgCr;Normal;Normal;Casa Individual;Sobrado;7;5;2001;2002;Duas Águas;Asfalto;VinylSd;VinylSd;Tijolo;162;Boa;Média;Concreto;Boa;Média;Mínima;Alto Acabamento;486;Sem Acabamento;0;434;920;Gás Forçado;Excelente;Sim;Disjuntor;920;866;0;1786;1;0;2;1;3;1;Boa;6;Típica;1;Média;Anexada;2001;Rústico;2;608;Média;Média;Sim;0;42;0;0;0;0;;;;0;9;2008;Venda Direta;Normal;223500
4;70;Residencial (Baixa Dens.);60;9550;Pavimentada;Sem Acesso;Leve Irregular;Plano;Todas Disponíveis;Esquina;Suave;Crawfor;Normal;Normal;Casa Individual;Sobrado;7;5;1915;1970;Duas Águas;Asfalto;Wd Sdng;Wd Shng;Nenhum;0;Média;Média;Tijolo;Média;Boa;Nenhuma;Bom Acabamento;216;Sem Acabamento;0;540;756;Gás Forçado;Boa;Sim;Disjuntor;961;756;0;1717;1;0;1;0;3;1;Boa;7;Típica;1;Boa;Separada;1998;Sem Acabamento;3;642;Média;Média;Sim;0;35;272;0;0;0;;;;0;2;2006;Venda Direta;Anormal;140000
5;60;Residencial (Baixa Dens.);84;14260;Pavimentada;Sem Acesso;Leve Irregular;Plano;Todas Disponíveis;Frente Dupla;Suave;NoRidge;Normal;Normal;Casa Individual;Sobrado;8;5;2000;2000;Duas Águas;Asfalto;VinylSd;VinylSd;Tijolo;350;Boa;Média;Concreto;Boa;Média;Média;Alto Acabamento;655;Sem Acabamento;0;490;1145;Gás Forçado;Excelente;Sim;Disjuntor;1145;1053;0;2198;1;0;2;1;4;1;Boa;9;Típica;1;Média;Anexada;2000;Rústico;3;836;Média;Média;Sim;192;84;0;0;0;0;;;;0;12;2008;Venda Direta;Normal;250000
6;50;Residencial (Baixa Dens.);85;14115;Pavimentada;Sem Acesso;Leve Irregular;Plano;Todas Disponíveis;Interno;Suave;Mitchel;Normal;Normal;Casa Individual;Mezanino Finalizado;5;5;1993;1995;Duas Águas;Asfalto;VinylSd;VinylSd;Nenhum;0;Média;Média;Madeira;Boa;Média;Nenhuma;Alto Acabamento;732;Sem Acabamento;0;64;796;Gás Forçado;Excelente;Sim;Disjuntor;796;566;0;1362;1;0;1;1;1;1;Média;5;Típica;0;;Anexada;1993;Sem Acabamento;2;480;Média;Média;Sim;40;30;0;320;0;0;;Média Privativa;Galpão;700;10;2009;Venda Direta;Normal;143000
7;20;Residencial (Baixa Dens.);75;10084;Pavimentada;Sem Acesso;Regular;Plano;Todas Disponíveis;Interno;Suave;Somerst;Normal;Normal;Casa Individual;Térrea;8;5;2004;2005;Duas Águas;Asfalto;VinylSd;VinylSd;Pedra;186;Boa;Média;Concreto;Excelente;Média;Média;Alto Acabamento;1369;Sem Acabamento;0;317;1686;Gás Forçado;Excelente;Sim;Disjuntor;1694;0;0;1694;1;0;2;0;3;1;Boa;7;Típica;1;Boa;Anexada;2004;Rústico;2;636;Média;Média;Sim;255;57;0;0;0;0;;;;0;8;2007;Venda Direta;Normal;307000
8;60;Residencial (Baixa Dens.);;10382;Pavimentada;Sem Acesso;Leve Irregular;Plano;Todas Disponíveis;Esquina;Suave;NWAmes;Posição Boa;Normal;Casa Individual;Sobrado;7;6;1973;1973;Duas Águas;Asfalto;HdBoard;HdBoard;Pedra;240;Média;Média;Blocos de Concreto;Boa;Média;Mínima;Bom Acabamento;859;Baixo Acabamento;32;216;1107;Gás Forçado;Excelente;Sim;Disjuntor;1107;983;0;2090;1;0;2;1;3;1;Média;7;Típica;2;Média;Anexada;1973;Rústico;2;484;Média;Média;Sim;235;204;228;0;0;0;;;Galpão;350;11;2009;Venda Direta;Normal;200000
9;50;Residencial (Média Dens.);51;6120;Pavimentada;Sem Acesso;Regular;Plano;Todas Disponíveis;Interno;Suave;OldTown;Arterial;Normal;Casa Individual;Mezanino Finalizado;7;5;1931;1950;Duas Águas;Asfalto;BrkFace;Wd Shng;Nenhum;0;Média;Média;Tijolo;Média;Média;Nenhuma;Sem Acabamento;0;Sem Acabamento;0;952;952;Gás Forçado;Boa;Sim;Fusível Médio;1022;752;0;1774;0;0;2;0;2;2;Média;8;Pequeno Ajuste;2;Média;Separada;1931;Sem Acabamento;2;468;Fraca;Média;Sim;90;0;205;0;0;0;;;;0;4;2008;Venda Direta;Anormal;129900
10;190;Residencial (Baixa Dens.);50;7420;Pavimentada;Sem Acesso;Regular;Plano;Todas Disponíveis;Esquina;Suave;BrkSide;Arterial;Arterial;Casa para Duas Famílias;Mezanino Inacabado;5;6;1939;1950;Duas Águas;Asfalto;MetalSd;MetalSd;Nenhum;0;Média;Média;Tijolo;Média;Média;Nenhuma;Alto Acabamento;851;Sem Acabamento;0;140;991;Gás Forçado;Excelente;Sim;Disjuntor;1077;0;0;1077;1;0;1;0;2;2;Média;5;Típica;2;Média;Anexada;1939;Rústico;1;205;Boa;Média;Sim;0;4;0;0;0;0;;;;0;1;2008;Venda Direta;Normal;118000
11;20;Residencial (Baixa Dens.);70;11200;Pavimentada;Sem Acesso;Regular;Plano;Todas Disponíveis;Interno;Suave;Sawyer;Normal;Normal;Casa Individual;Térrea;5;5;1965;1965;Quatro Águas;Asfalto;HdBoard;HdBoard;Nenhum;0;Média;Média;Blocos de Concreto;Média;Média;Nenhuma;Sala de Recreação;906;Sem Acabamento;0;134;1040;Gás Forçado;Excelente;Sim;Disjuntor;1040;0;0;1040;1;0;1;0;3;1;Média;5;Típica;0;;Separada;1965;Sem Acabamento;1;384;Média;Média;Sim;0;0;0;0;0;0;;;;0;2;2008;Venda Direta;Normal;129500
12;60;Residencial (Baixa Dens.);85;11924;Pavimentada;Sem Acesso;Leve Irregular;Plano;Todas Disponíveis;Interno;Suave;NridgHt;Normal;Normal;Casa Individual;Sobrado;9;5;2005;2006;Quatro Águas;Asfalto;WdShing;Wd Shng;Pedra;286;Excelente;Média;Concreto;Excelente;Média;Nenhuma;Alto Acabamento;998;Sem Acabamento;0;177;1175;Gás Forçado;Excelente;Sim;Disjuntor;1182;1142;0;2324;1;0;3;0;4;1;Excelente;11;Típica;2;Boa;Embutida;2005;Acabado;3;736;Média;Média;Sim;147;21;0;0;0;0;;;;0;7;2006;Nova;Parcial;345000
13;20;Residencial (Baixa Dens.);;12968;Pavimentada;Sem Acesso;Moderadamente Irregular;Plano;Todas Disponíveis;Interno;Suave;Sawyer;Normal;Normal;Casa Individual;Térrea;5;6;1962;1962;Quatro Águas;Asfalto;HdBoard;Plywood;Nenhum;0;Média;Média;Blocos de Concreto;Média;Média;Nenhuma;Bom Acabamento;737;Sem Acabamento;0;175;912;Gás Forçado;Média;Sim;Disjuntor;912;0;0;912;1;0;1;0;2;1;Média;4;Típica;0;;Separada;1962;Sem Acabamento;1;352;Média;Média;Sim;140;0;0;0;176;0;;;;0;9;2008;Venda Direta;Normal;144000
14;20;Residencial (Baixa Dens.);91;10652;Pavimentada;Sem Acesso;Leve Irregular;Plano;Todas Disponíveis;Interno;Suave;CollgCr;Normal;Normal;Casa Individual;Térrea;7;5;2006;2007;Duas Águas;Asfalto;VinylSd;VinylSd;Pedra;306;Boa;Média;Concreto;Boa;Média;Média;Sem Acabamento;0;Sem Acabamento;0;1494;1494;Gás Forçado;Excelente;Sim;Disjuntor;1494;0;0;1494;0;0;2;0;3;1;Boa;7;Típica;1;Boa;Anexada;2006;Rústico;3;840;Média;Média;Sim;160;33;0;0;0;0;;;;0;8;2007;Nova;Parcial;279500
15;20;Residencial (Baixa Dens.);;10920;Pavimentada;Sem Acesso;Leve Irregular;Plano;Todas Disponíveis;Esquina;Suave;NAmes;Normal;Normal;Casa Individual;Térrea;6;5;1960;1960;Quatro Águas;Asfalto;MetalSd;MetalSd;Tijolo;212;Média;Média;Blocos de Concreto;Média;Média;Nenhuma;Baixo Acabamento;733;Sem Acabamento;0;520;1253;Gás Forçado;Média;Sim;Disjuntor;1253;0;0;1253;1;0;1;1;2;1;Média;5;Típica;1;Fraca;Anexada;1960;Rústico;1;352;Média;Média;Sim;0;213;176;0;0;0;;Madeira Boa;;0;5;2008;Venda Direta;Normal;157000
16;45;Residencial (Média Dens.);51;6120;Pavimentada;Sem Acesso;Regular;Plano;Todas Disponíveis;Esquina;Suave;BrkSide;Normal;Normal;Casa Individual;Mezanino Inacabado;7;8;1929;2001;Duas Águas;Asfalto;Wd Sdng;Wd Sdng;Nenhum;0;Média;Média;Tijolo;Média;Média;Nenhuma;Sem Acabamento;0;Sem Acabamento;0;832;832;Gás Forçado;Excelente;Sim;Fusível Alto;854;0;0;854;0;0;1;0;2;1;Média;5;Típica;0;;Separada;1991;Sem Acabamento;2;576;Média;Média;Sim;48;112;0;0;0;0;;Boa Privativa;;0;7;2007;Venda Direta;Normal;132000
17;20;Residencial (Baixa Dens.);;11241;Pavimentada;Sem Acesso;Leve Irregular;Plano;Todas Disponíveis;Cul-de-sac;Suave;NAmes;Normal;Normal;Casa Individual;Térrea;6;7;1970;1970;Duas Águas;Asfalto;Wd Sdng;Wd Sdng;Tijolo;180;Média;Média;Blocos de Concreto;Média;Média;Nenhuma;Bom Acabamento;578;Sem Acabamento;0;426;1004;Gás Forçado;Excelente;Sim;Disjuntor;1004;0;0;1004;1;0;1;0;2;1;Média;5;Típica;1;Média;Anexada;1970;Acabado;2;480;Média;Média;Sim;0;0;0;0;0;0;;;Galpão;700;3;2010;Venda Direta;Normal;149000
18;90;Residencial (Baixa Dens.);72;10791;Pavimentada;Sem Acesso;Regular;Plano;Todas Disponíveis;Interno;Suave;Sawyer;Normal;Normal;Duplex;Térrea;4;5;1967;1967;Duas Águas;Asfalto;MetalSd;MetalSd;Nenhum;0;Média;Média;Laje;;;;;0;;0;0;0;Gás Forçado;Média;Sim;Disjuntor;1296;0;0;1296;0;0;2;0;2;2;Média;6;Típica;0;;Estacionamento;1967;Sem Acabamento;2;516;Média;Média;Sim;0;0;0;0;0;0;;;Galpão;500;10;2006;Venda Direta;Normal;90000
19;20;Residencial (Baixa Dens.);66;13695;Pavimentada;Sem Acesso;Regular;Plano;Todas Disponíveis;Interno;Suave;SawyerW;Ferrovia (Afastado);Normal;Casa Individual;Térrea;5;5;2004;2004;Duas Águas;Asfalto;VinylSd;VinylSd;Nenhum;0;Média;Média;Concreto;Média;Média;Nenhuma;Alto Acabamento;646;Sem Acabamento;0;468;1114;Gás Forçado;Excelente;Sim;Disjuntor;1114;0;0;1114;1;0;1;1;3;1;Boa;6;Típica;0;;Separada;2004;Sem Acabamento;2;576;Média;Média;Sim;0;102;0;0;0;0;;;;0;6;2008;Venda Direta;Normal;159000
20;20;Residencial (Baixa Dens.);70;7560;Pavimentada;Sem Acesso;Regular;Plano;Todas Disponíveis;Interno;Suave;NAmes;Normal;Normal;Casa Individual;Térrea;5;6;1958;1965;Quatro Águas;Asfalto;BrkFace;Plywood;Nenhum;0;Média;Média;Blocos de Concreto;Média;Média;Nenhuma;Baixo Acabamento;504;Sem Acabamento;0;525;1029;Gás Forçado;Média;Sim;Disjuntor;1339;0;0;1339;0;0;1;0;3;1;Média;6;Pequeno Ajuste;0;;Anexada;1958;Sem Acabamento;1;294;Média;Média;Sim;0;0;0;0;0;0;;Média Privativa;;0;5;2009;Venda Judicial;Anormal;139000
21;60;Residencial (Baixa Dens.);101;14215;Pavimentada;Sem Acesso;Leve Irregular;Plano;Todas Disponíveis;Esquina;Suave;NridgHt;Normal;Normal;Casa Individual;Sobrado;8;5;2005;2006;Duas Águas;Asfalto;VinylSd;VinylSd;Tijolo;380;Boa;Média;Concreto;Excelente;Média;Média;Sem Acabamento;0;Sem Acabamento;0;1158;1158;Gás Forçado;Excelente;Sim;Disjuntor;1158;1218;0;2376;0;0;3;1;4;1;Boa;9;Típica;1;Boa;Embutida;2005;Rústico;3;853;Média;Média;Sim;240;154;0;0;0;0;;;;0;11;2006;Nova;Parcial;325300
22;45;Residencial (Média Dens.);57;7449;Pavimentada;Cascalho;Regular;Levemente Inclinado;Todas Disponíveis;Interno;Suave;IDOTRR;Normal;Normal;Casa Individual;Mezanino Inacabado;7;7;1930;1950;Duas Águas;Asfalto;Wd Sdng;Wd Sdng;Nenhum;0;Média;Média;Concreto;Média;Média;Nenhuma;Sem Acabamento;0;Sem Acabamento;0;637;637;Gás Forçado;Excelente;Sim;Fusível Médio;1108;0;0;1108;0;0;1;0;3;1;Boa;6;Típica;1;Boa;Anexada;1930;Sem Acabamento;1;280;Média;Média;Não;0;0;205;0;0;0;;Boa Privativa;;0;6;2007;Venda Direta;Normal;139400
